MAIN,LAT,LONG
Bergen-Belsen,52.753353, 9.900466
Mauthausen,48.242401, 14.517645
St.Martin,48.663209, 14.836536
Gunskirchen,48.139757, 13.946165
Auschwitz,50.034165, 19.203686
Lanzberg,48.038903, 10.874639
Kaufering,48.099994, 10.872679
Mildorf,48.249088, 12.530508
Torgau,51.561475, 12.986540
Mittelgarst,54.582873, 5.816090
Stutthof,54.327943, 19.154051
Bomgarten,47.732456, 16.501686
Lubics,54.582873, 5.816090
Friedenswald,50.222720, 9.162782
Prost,54.582873, 5.816090
Lamburg,53.552193, 9.980343
Mettenheim,48.269729, 12.467609
Sopron,47.681819, 16.589310
Siegendorf,47.775125, 16.567891
Krakk,54.582873, 5.816090
Neustadt,49.353290, 8.159251
Gross-rosen,50.997519, 16.274443
Neusalz,51.036708, 14.528989
Birkenau,50.029150, 19.203935
Hildesheim,52.149034, 9.950248
Ahlem,52.384990, 9.664111
Weiswasser,51.501044, 14.622134
Harneburg,53.509449, 9.562600
Wappendorf,53.592941, 9.980831
Buna,50.594542, 12.078443
Buchenwald,51.021440, 11.249142
Theresienstadt,50.514020, 14.166497
Ravensbruck,47.775392, 9.581709
Gelenau,50.708219, 12.963660
Lieberstadt,54.582873, 5.816090
Oranienburg,52.756351, 13.249885
Sachsenhausen,52.790128, 13.226714
Dachau,48.270038, 11.468111
Allendorfy,50.652598, 11.145292
Bochum,51.483259, 7.217317
Monowitz,50.033455, 19.253942
Gleiwitz,50.294046, 18.660689
Langerstein,48.250348, 14.468004
Magdeburg,52.125316, 11.612269
Wolfsberg,52.408757, 10.794540
Lenzing,47.974137, 13.607635
Neustadtglewe,53.412289, 11.578675
Parschnitz,54.582873, 5.816090
Kratzau,50.828556, 14.966231
Weiswasser,51.500403, 14.621445
Neuengamme,53.438352, 10.217180
Hamburg,53.550624, 9.987547
Brenner,47.001279, 11.504725
Allach,48.193375, 11.465352
Fallersleben,52.436933, 10.708787
Salzwedel,52.841640, 11.135490
Altenburg,50.983159, 12.430108
Fallersleben,52.440910, 10.709994
Salzwedel,52.846639, 11.120397
Freudenthal,51.024956, 9.327094
