ID,MHG_ID,SUBCAMP,MAIN,WOMEN,MEN,GENDER,FIRMS,YYYY_OPEN,MM_OPEN,DD_OPEN,OPEN_TXT,YYYY_CLOSE,MM_CLOSE,DD_CLOSE,CLOSE_TXT,PRISONERS,DATE_OPEN,DATE_CLOSE,PEAK_POP,FUNC_1,FUNC_2,HOW_FOUND,SHARE_LOC,LAT,LONG,NATIONS,ENCY_REF,LABOR,EDIT_NOTES,FIRMABBREV
01-0009-0,502,Altdorf,Auschwitz,0,0,0,Pless Forestry Management Office,42,10,,"""October 1942""",43,03,,"""March 1943""",Jewish,"""1942-10-15T00:00:00.000Z""","""1943-03-15T00:00:00.000Z""",20,2,0,,0,49.983299,18.9167,,"Encyclopedia of Camps, Volume 1 pg 224",Forestry detail located in the basement of a house by the Forestry Management Office (Oberforstamt),,
01-0013-0,503,Althammer,Auschwitz,0,0,0,,44,09,,"""September 1944""",45,01,,"""January 1945""","Jewish, one Gypsy","""1944-09-15T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",486,3,0,,0,51.400001,17.466699,"France, Poland, Hungary, Dutch","Encyclopedia of Camps, Volume 1 pg 224","Prisoners contructed the Walter thermal power plant, doing jobs like bricklaying and transport",,
01-0032-3,504,Auschwitz I,Auschwitz,2,1,3,"IG Farben, Herman Goring Works, German Equipment Works, German Earth and Stone Company, Gollenschow Portland Cement Plant, German Food Concern Ltd.",40,06,14,"""June 14, 1940""",45,01,27,,"Political Poles, Jews, handicapped, Protestant and Catholic clergy, Homosexuals, Jehovah's witnesses, other Politicals, Gypsys, Soviet POW","""1940-06-14T00:00:00.000Z""","""1945-01-27T00:00:00.000Z""",0,6,0,,0,50.026199,19.204099,All over Europe,"Encyclopedia of Camps, Volume 1 pg 204","Inmates worked in administrative, service, and clerical jobs inside, and in farms, fish hatcheries, factories, mines, chemicals plants and armaments works outside the camp",,"IG Farben, RWHG, DESt"
01-0033-3,505,Auschwitz II Birkenau,Auschwitz,2,1,3,,43,11,22,"""November 22, 1943""",44,11,25,"""November 25, 1944""","Jews, Poles, Gypsys and Soviets","""1943-11-22T00:00:00.000Z""","""1944-11-25T00:00:00.000Z""",0,3,6,,0,50.0371,19.1752,All over Europe,"Encyclopedia of Camps and Ghettos, p. 209","Extermination camp, prisoners built camp, most were gassed, some worked cleaning out the gas chambers, doing agricultural work, or in nearby armaments factories",BB added N_FIRM data 7/3/2012,
01-0034-0,506,Auschwitz III Monowitz,Auschwitz,0,0,0,,41,04,,,45,01,18,,,"""1941-04-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",11000,4,0,,0,50.031101,19.2915,,"Encyclopedia of Camps, Volume 1 pg 215",Prisoners built and worked in an IG Farben factory producing synthetic fuels and rubber,AK added Open YYYY and Open MM and Date_Evac_Txt from Encyclopedia,
01-0036-3,507,Babitz (both),Auschwitz,2,1,3,,43,03,,"""March 1943""",44,07,,"""July 1944- women moved to Birkenau, mens still open""","Jewish, Russians","""1943-03-15T00:00:00.000Z""","""1944-07-15T00:00:00.000Z""",200,3,6,,1,50.166698,17.9167,"Greek, Polish, Russian","Encyclopedia of Camps, Volume 1 pg 225","Prisoners demolished village buildings and constructed farm buildings, later working on the farm",,
01-0036-1,507,Babitz (men),Auschwitz,2,1,1,,43,03,,"""March 1943""",45,01,17,"""July 1944- women moved to Birkenau, men evacuated January 17, 1945""","Jewish, Russians","""1943-03-15T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",0,3,6,,1,50.166698,17.9167,"Greek, Polish, Russian","Encyclopedia of Camps, Volume 1 pg 225","Prisoners demolished village buildings and constructed farm buildings, later working on the farm",,
01-0105-3,508,Bismarckhütte [aka Königshütte],Auschwitz,2,1,3,,44,09,,"""September 1944""",45,01,18,"""January 18, 1945""",Jewish,"""1944-09-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",200,4,3,,0,50.2667,18.95,All over Europe,"Encyclopedia of Camps and Ghettos, p. 226","expanded camp, worked in steel mill, armor and anti-aircraft gun factory",,
01-0109-3,509,Blechhammer,Auschwitz,2,1,3,Oberschlesische Hydrierwerke AG,44,04,01,"""April 1, 1944""",45,01,,"""January, 1945""",Jewish,"""1944-04-01T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",4000,9,0,,0,50.366699,18.2833,All over Europe,"Encyclopedia of Camps, Volume 1 pg 227",Prisoners worked in a synthetic gasoline factory owned by Oberschlesische Hydrierwerke AG,,
02-0065-0,544,Bergen-Belsen,Bergen-Belsen,0,0,0,,43,03,21,,45,04,,,,"""1943-03-21T00:00:00.000Z""","""1945-04-15T00:00:00.000Z""",55000,0,0,,0,52.758899,9.907099,,"Encyclopedia of Camps, Volume 1 pg 278",main camp,AK added Open YYYY and Open YYYY Prefix and Date_Lib_Txt from Encyclopedia,
04-0114-0,563,Bochum (Bochumer Verein),Buchenwald,0,0,0,,44,06,27,"""June 27, 1944""",45,03,16,"""March 16, 1945""",,"""1944-06-27T00:00:00.000Z""","""1945-03-16T00:00:00.000Z""",1706,4,0,,1,51.483299,7.2167,,"Encyclopedia of Camps, Volume 1 pg 317","United Steelworks produced guns, bombs, shells, torpedo parts, and parts of aircraft engines. Prisoners did heavy physical labor in the foundry, mostly unskilled work.",,
05-0504-0,847,Kleve,Early,0,0,0,,33,04,01,"""April 1, 1933""",,,,,,"""1933-04-01T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",0,1,0,,0,51.783298,6.15,,"Encyclopedia of Camps, Volume 1 pg 102",Protective custody,,
01-0112-3,510,Bobrek,Auschwitz,2,1,3,Siemens,44,01,,"""January 1944""",45,01,17,"""January 17, 1945""","Jewish, others","""1944-01-15T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",251,3,4,,0,50.333301,18.866699,All over Europe,"Encyclopedia of Camps, Volume 1 pg 228",Inmates first reconstructed Siemens electronics factory and then performed skilled labor there,,Siemens
01-0155-3,511,Brünn,Auschwitz,2,1,3,Police Engineering Academy,43,10,02,"""October 2, 1943""",45,01,17,"""January 17, 1945""","Jewish, Polish","""1943-10-02T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",251,3,0,,0,49.2,16.6333,Mostly Poles,"Encyclopedia of Camps, Volume 1 pg 231","Prisoners brought to finish building part of the SS and Police Engineering Academy, where SS was experimenting with arms and equipment",,
01-0160-3,512,Budy,Auschwitz,2,1,3,,42,04,,"""April 1942""",45,01,17,"""January 17, 1945""","Jewish, other","""1942-04-15T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",388,6,0,,0,49.983299,19.149999,"Poles, French, Belgians, Czechs, Russians, a few Germans, Gypsies, Greek jews.","Encyclopedia of Camps, Volume 1 pg 233",Prisoners worked on a farm run by the SS,,
01-0167-3,513,Charlottengrube,Auschwitz,2,1,3,Hermann Göring Werke,44,09,19,"""September 19, 1944""",45,01,19,,Jewish,"""1944-09-19T00:00:00.000Z""","""1945-01-19T00:00:00.000Z""",1050,9,0,,0,50.066699,18.4333,All over Europe,"Encyclopedia of Camps, Volume 1 pg 234",Prisoners mined coal and transported materials,,RWHG
01-0169-3,514,Chelmek-Paprotnik [aka Chelmek],Auschwitz,2,1,3,Bata Shoe Factory,42,10,,"""October 1942""",42,12,09,,Jewish,"""1942-10-15T00:00:00.000Z""","""1942-12-09T00:00:00.000Z""",150,6,0,,0,50.099998,19.2667,All over Europe,"Encyclopedia of Camps, Volume 1 pg 236",Prisoners cleaned ponds near factory so that their water could be used industrially,,
01-0244-3,515,Eintrachthütte,Auschwitz,2,1,3,,43,05,26,"""May 26, 1943""",45,01,,,"Jewish, Polish, Russian POW","""1943-05-26T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",1297,4,0,,0,50.283298,18.9167,"French, Czech, Poles, Belgian, Dutch, Bohemian, Slavic, Hungarian","Encyclopedia of Camps, Volume 1 pg 237",Prisoners manufactured anti-aircraft guns,,
01-0294-0,516,Freudenthal,Auschwitz,0,0,0,E. Machold textile factory,44,10,,"""Probably came into being in October 1944""",45,05,06,,,"""1944-10-15T00:00:00.000Z""","""1945-05-06T00:00:00.000Z""",301,5,0,,0,49.983299,17.466699,,"Encyclopedia of Camps, Volume 1 pg 238",Prisoners worked at Emmerich Machold factory sewing uniforms for the war effort,,
01-0302-3,517,Fürstengrube,Auschwitz,2,1,3,of IG Farbenindustrie AG and Fürstengrube GmbH,43,09,,"""Early September 1943""",45,01,19,,"Jewish, mostly Polish Jews","""1943-09-01T00:00:00.000Z""","""1945-01-19T00:00:00.000Z""",1283,9,3,,0,50.733299,18.983299,"French, Czech, Poles, Belgian, Dutch, Greek, Hungarian, German, Austrian","Encyclopedia of Camps, Volume 1 pg 239",Prisoners mined coal in old mine and built new mine for IG Farben's Buna plant,,IG Farben
01-0325-3,518,Gleiwitz I,Auschwitz,2,1,3,,44,03,,"""March 1944""",45,01,18,"""January 18, 1945""",Jewish,"""1944-03-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",1336,5,0,,0,50.283298,18.6667,"Bohemian, Slovs, Yugoslavs, Hungarian, Itailian, Ukranian, Russian, Polish","Encyclopedia of Camps, Volume 1 pg 241",Prisoners repaired freight and tank rail cars for the Gleiwitz Reichsbahnausbesserungswerk,,
01-0326-3,519,Gleiwitz II,Auschwitz,2,1,3,German Deutsche Gasrusswerke company,44,05,04,"""May 3, 1944""",45,01,18,,Jewish,"""1944-05-04T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",1111,9,0,Could only find city center,1,50.2945,18.6714,"Silesia, Hungarian, Poles","Encyclopedia of Camps, Volume 1 pg 243","Prisoners produced carbon black from anthracite, sulfur, and oil in large factories",,
07-0639-0,1037,Morchenstern,Gross Rosen,0,0,0,,45,02,19,"""Febraury 19, 1945""",45,05,01,"""May 1, 1945""",,"""1945-02-19T00:00:00.000Z""","""1945-05-01T00:00:00.000Z""",300,4,0,,0,50.733299,15.2333,,"Encyclopedia of Camps, Volume 1 pg 766",Prisoners were moved to work at an aircraft engine factory after the Soviet advance had approached their former camp,,
01-0327-1,520,Gleiwitz III,Auschwitz,0,1,1,Zieleniewski Works,44,05,,"""Spring 1944""",45,01,19,,Jewish,"""1944-03-01T00:00:00.000Z""","""1945-01-19T00:00:00.000Z""",609,4,0,Could only find city center,1,50.2945,18.6714,Poles,"Encyclopedia of Camps, Volume 1 pg 244","Prisoners unloaded aircraft parts an airport, worked at railway sidings unloading armaments, later assembled weapons",,
01-0328-3,521,Gleiwitz IV,Auschwitz,2,1,3,"Hahn Company, Heeresbauverwaltung Gleiwitz (Land Army Engineering Corps in Gleiwitz",44,06,,"""June 1944""",45,01,18,,"Jewish, Russians","""1944-06-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",380,7,3,Could only find city center,1,50.2945,18.6714,"Russians, Poles","Encyclopedia of Camps, Volume 1 pg 246","Cleared rubble from bombed cities, worked in the port, built barracks, painted military vehicles",,
01-0333-0,522,Golleschau,Auschwitz,0,0,0,,42,08,,"""August 1942""",45,01,,,"Jewish, Poles, Russians","""1942-08-15T00:00:00.000Z""","""1945-01-01T00:00:00.000Z""",1059,3,0,,0,49.733299,18.75,"Poles, French, Russians, Czechs, Hungarians, Greeks,","Encyclopedia of Camps, Volume 1 pg 247","Worked at a cement factory laying railroad tracks, crushing stone, sifting coal, doing carpentry etc",,
01-0365-0,523,Günthergrube,Auschwitz,0,0,0,Fürstlich Plessische Bergwerks AG corporation,44,02,,"""Late January/Early February 1944""",45,01,18,,"Jewish, Very few germans/Poles","""1944-02-01T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",600,9,0,,0,50.233299,19.149999,"French, Dutch, Polish jews","Encyclopedia of Camps, Volume 1 pg 249",Mined coal in an existing mine and dug an additional mine,,
01-0413-3,524,Harmense,Auschwitz,2,1,3,Farming,41,12,08,"""December 8, 1941""",45,01,18,,Jewish,"""1941-12-08T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",106,6,0,,0,50.0167,19.149999,"Poles, Germans","Encyclopedia of Camps, Volume 1 pg 250",Prisoners worked on the SS farm surrounding Auschwitz,,
01-0440-3,525,Hindenburg O.S.,Auschwitz,2,1,3,Vereinigte Oberschlesische Hüttenwerke A.G,44,08,,"""August 1944""",45,01,19,"""January 19, 1945""",Mostly Polish Jews,"""1944-08-15T00:00:00.000Z""","""1945-01-19T00:00:00.000Z""",541,4,0,,0,50.316699,18.7833,"Slavs, Poles, Gypsy, Czech","Encyclopedia of Camps, Volume 1 pg 252",Worked in steel mill producing ammunition; mainly bullets and grenades,,
01-0448-0,526,Hohenlinde [aka Hubertushütte],Auschwitz,0,0,0,,44,12,,"""December 1944""",45,01,18,"""January 18/19, 1945""",Jewish,"""1944-12-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",202,3,4,,0,50.333301,18.9333,,"Encyclopedia of Camps, Volume 1 pg 253",Worked in a steel mill that made armaments. Most prisoners worked to construct new buildings for armament production,,
01-0465-0,527,"Janinagrube [aka Johannagrube, Gute Hoffnungsgrube]",Auschwitz,0,0,0,IG Farbenindustrie,43,09,04,"""September 4, 1943""",45,01,25,,"First a few British POW, but replaced by Jews","""1943-09-04T00:00:00.000Z""","""1945-01-25T00:00:00.000Z""",877,9,0,,0,50.099998,19.316699,"Polish Jews, Polish, German","Encyclopedia of Camps, Volume 1 pg 253","Prisoners mined coal for IG Farben, some worked above ground in various support capacities",,IG Farben
01-0467-0,528,Jawischowitz,Auschwitz,0,0,0,Hermann Göring Werke,42,08,15,"""August 15, 1942""",45,01,17,,Jewish,"""1942-08-15T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",1948,9,0,,0,49.95,19.149999,All over Europe,"Encyclopedia of Camps, Volume 1 pg 255","Prisoners mined coal for Reichswerke Hermann Goring , 80% below ground",,RWHG
01-0483-0,529,Kattowitz,Auschwitz,0,0,0,,44,01,,"""January 1944""",45,01,,"""January 1945""",,"""1944-01-15T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",10,7,0,,0,50.2667,19.0167,,"Encyclopedia of Camps, Volume 1 pg 257",Erected air raid shelters and may have also conducted bomb disposal operations,,
