type,geometry_type,geometry_coordinates_long,geometry_coordinates_lat,properties_Place_name
feature,Point,19.040235,47.497912,Budapest
feature,Point,19.503304,47.162494,Fels?veresmart
feature,Point,22.717322,48.439153,Munkács
feature,Point,19.503304,47.162494,Zsolna
feature,Point,19.503304,47.162494,##szárnya
feature,Point,19.7059592,47.92414040000001,Pásztó
feature,Point,18.0677287,46.9100184,Mihályka
feature,Point,23.8775791,47.9557094,Aknaszlatina
feature,Point,18.0012442,47.592676,Tárkány
feature,Point,23.0332798,48.5637949,Hársfalva
feature,Point,23.302906,48.175860,Huszt
feature,Point,19.503304,47.162494,Ilosva
feature,Point,21.2784255,46.6473027,Gyula
feature,Point,19.503304,47.162494,Ruszkavoda
feature,Point,16.3718643,48.2081664,Wien
feature,Point,19.503304,47.162494,Técso
feature,Point,17.6503974,47.6874569,Györ
feature,Point,16.8105793,46.31681380000001,Alsódomboru
feature,Point,19.503304,47.162494,Dombó
feature,Point,19.503304,47.162494,Gice
feature,Point,19.503304,47.162494,Rimaszombat
feature,Point,17.1002994,46.2565653,Csürgo
feature,Point,23.6229395,48.4851578,Alsószinevér
feature,Point,17.1634865,47.11997830000001,Jánosháza
feature,Point,19.503304,47.162494,Berettó
feature,Point,19.503304,47.162494,Szobránc
feature,Point,21.26799002436191,48.27296063205583,Hidegpatak
feature,Point,19.503304,47.162494,Beregbród
feature,Point,19.3605431,47.6007732,Gödöllo
feature,Point,19.1319344,47.561541,Rákospalota
feature,Point,19.503304,47.162494,Szászovka
feature,Point,19.503304,47.162494,Podhering
feature,Point,19.503304,47.162494,Keselymezo
feature,Point,20.9654647,48.1026673,Gesztely
feature,Point,19.503304,47.162494,Igló
feature,Point,22.283429,48.627718,Ungvár
feature,Point,22.5089067,48.5412136,Szerednye
feature,Point,19.503304,47.162494,Stradna
feature,Point,19.503304,47.162494,Oroszrég
feature,Point,20.2637492,46.654789,Szentes
feature,Point,21.8447933,47.8749081,Nagykálló
feature,Point,17.3272097,47.4596327,Rábaszentandrás
feature,Point,17.528832,47.23249190000001,Gánya
feature,Point,18.4221358,47.18602620000001,Székesfehérvár
feature,Point,17.3649851,46.2261652,Nagyatád
feature,Point,19.503304,47.162494,Bártháza
feature,Point,19.1090853,47.4433711,Pestszenterzsébet
feature,Point,19.503304,47.162494,Nagyberezna
feature,Point,18.5263534,46.2981016,Bonyhád
feature,Point,19.503304,47.162494,Vadászfalva
feature,Point,22.2740915,48.5826327,Ketergény
feature,Point,21.918220,47.077354,Nagyvárad
feature,Point,19.503304,47.162494,Felsoverecke
feature,Point,19.503304,47.162494,Felsoremete
feature,Point,18.7221054,47.3234883,Kajászószentpéter
feature,Point,23.8976506,47.927707,Máramarossziget
feature,Point,19.0203587,47.5522901,Toronya
feature,Point,19.780429,48.0700159,Zagyvapálfalva
feature,Point,19.503304,47.162494,Chuszt
feature,Point,23.4827736,48.04966839999999,Bustyaháza
feature,Point,19.503304,47.162494,Alsószine
feature,Point,21.2438164,48.0275909,Tiszadada
feature,Point,19.503304,47.162494,Majdan
feature,Point,19.503304,47.162494,Marosjánosi
feature,Point,22.6370954,48.1971868,Beregszász
feature,Point,19.503304,47.162494,Visken
feature,Point,17.046715,47.08163,Bögöte
feature,Point,19.503304,47.162494,Arad
feature,Point,18.1571098,47.9881643,Érsekújvár
feature,Point,19.503304,47.162494,Szajkofalva
feature,Point,17.6206307,47.9916348,Dunaszerdahely
feature,Point,19.503304,47.162494,Szatmárnémeti (Szaplonca)
feature,Point,23.9411193,47.7794585,Aknasugatag
feature,Point,22.7710858,48.186344,Kovászó
feature,Point,20.7784384,48.1034775,Miskolc
feature,Point,19.503304,47.162494,Ipolyság
feature,Point,19.6106401,47.9691969,Felsotold
feature,Point,19.0913148,47.56489149999999,Újpest
feature,Point,21.9314069,48.0760479,Borzsova
feature,Point,19.503304,47.162494,Tiszafélegyháza
feature,Point,19.1276419,47.5393638,Pestújhely
feature,Point,21.2048872,48.1590429,Szerencs
feature,Point,24.3973258,47.2921849,Naszód
feature,Point,23.647865,47.1439283,Alparét
feature,Point,19.503304,47.162494,Voloc
feature,Point,22.5316392,48.1055366,Tarpa
feature,Point,22.1014229,48.2690868,Fényeslitke
feature,Point,21.242186,48.684571,Kassa
feature,Point,19.503304,47.162494,Repede
feature,Point,19.503304,47.162494,Szenteske
feature,Point,19.093871,47.411309,Kökényes
feature,Point,19.503304,47.162494,Beregardó
feature,Point,22.1772664,48.6972824,Porostov
feature,Point,18.9167877,46.806202,Dunaföldvár
feature,Point,21.7087174,48.0497052,Kótaj
feature,Point,19.503304,47.162494,Kovácsrét
feature,Point,20.5698525,47.8074617,Mezokövesd
feature,Point,22.462143,47.6814513,Nagykároly
feature,Point,19.503304,47.162494,Petrova
feature,Point,24.4396734,47.7150521,Felsovisó
feature,Point,19.503304,47.162494,Szatmárnémeti
feature,Point,19.503304,47.162494,Akna-Szlatina
feature,Point,19.503304,47.162494,Várpalánka
feature,Point,19.503304,47.162494,Drágabátfalva
feature,Point,19.503304,47.162494,Nagykapos
feature,Point,19.503304,47.162494,Csörg?
feature,Point,19.503304,47.162494,Németporuba
feature,Point,19.0217516,47.4795264,Oroszvég
feature,Point,19.503304,47.162494,Raho
feature,Point,19.503304,47.162494,Borsa
feature,Point,19.503304,47.162494,Nagysz?ll?s
feature,Point,21.8122197,47.2851817,Pocsaj
feature,Point,19.1155371,47.4359575,Alsóapsa
feature,Point,19.503304,47.162494,Szolyva
feature,Point,19.503304,47.162494,Bilke
feature,Point,22.5958253,48.4706824,Beregrákos
feature,Point,19.503304,47.162494,###
feature,Point,19.503304,47.162494,Irholz
feature,Point,18.8546832,46.6060722,Paks
feature,Point,17.4371124,46.8834475,Tapolca
feature,Point,19.503304,47.162494,Román##
feature,Point,18.232266,46.0727345,Pécs
feature,Point,22.8417209,48.1100924,Tiszaújlak
feature,Point,17.8839478,47.3639954,Bakonyszentkirály
feature,Point,19.503304,47.162494,Herincse
feature,Point,19.503304,47.162494,Laposna
feature,Point,22.4571681,48.2539304,Mezökaszony
feature,Point,19.503304,47.162494,K?rösmez?
feature,Point,19.503304,47.162494,Ignéc
feature,Point,20.3300315,46.4181262,Hódmezovásárhely
feature,Point,23.0974009,48.77244719999999,Alsóverecke
feature,Point,19.503304,47.162494,Vágszered
feature,Point,20.1414253,46.2530102,Szeged
feature,Point,19.0107327,47.0903328,Dömsöd
feature,Point,24.3450737,48.2595628,Körösmezo
feature,Point,19.503304,47.162494,Botfalva
feature,Point,22.130818,47.8390013,Nyírbátor
feature,Point,18.232266,46.0727345,Bécs
feature,Point,19.0913148,47.56489149999999,Ujpest
feature,Point,20.9595443,47.0313217,Dévaványa
feature,Point,19.676666,47.6656965,Hatvan
feature,Point,19.503304,47.162494,Halmi
feature,Point,19.503304,47.162494,Ugonya
feature,Point,19.503304,47.162494,Büd-Szt.Mihály
feature,Point,17.7331443,47.1147506,Szentgál
feature,Point,19.503304,47.162494,Csornok
feature,Point,20.7618268,48.5452009,Komjáti
feature,Point,18.1267006,47.7390852,Komárom
feature,Point,17.9093019,47.1028087,Veszprém
feature,Point,19.503304,47.162494,Eötvösfalva
feature,Point,19.503304,47.162494,Kisapsa
feature,Point,19.503304,47.162494,Pusztakvass#
feature,Point,22.9020738,48.3504123,Drágabárdfalva
feature,Point,19.503304,47.162494,Fülek
feature,Point,19.2937136,48.0711866,Balassagyarmat
feature,Point,19.503304,47.162494,Mircse
feature,Point,19.503304,47.162494,Polena
feature,Point,18.965422,47.989441,Királyháza
feature,Point,23.1880051,48.1364648,Csarnatö
feature,Point,19.503304,47.162494,Rozsnyó
feature,Point,19.503304,47.162494,Pestszentl?rincz
feature,Point,17.08134612966608,46.93855799493657,Nádaspatak
feature,Point,21.1185953,47.3216529,Püspökladány
feature,Point,18.7078968,47.6272993,Kis Kirva
feature,Point,21.0877309,46.6735939,Békéscsaba
feature,Point,19.503304,47.162494,Uglya
